11/24/2019 4:56:08 PM: ConfigureServices starts...
11/24/2019 4:56:09 PM: Configure starts...
11/24/2019 4:56:10 PM: HomeController starts...
11/24/2019 4:56:10 PM: Home/Index starts...
11/24/2019 4:56:28 PM: api/User/Post starts...
11/24/2019 4:56:30 PM: HomeController starts...
11/24/2019 4:56:30 PM: Home/Init starts...
11/24/2019 4:56:34 PM: api/Word/Get starts...
11/24/2019 4:56:44 PM: api/Word/Get starts...
11/24/2019 4:56:53 PM: api/Word/Get starts...
11/24/2019 4:57:22 PM: api/Word/Get starts...
11/24/2019 5:25:29 PM: @@@@====MAIN====@@@@
11/24/2019 5:25:29 PM: Startup starts...
11/24/2019 5:25:29 PM: ConfigureServices starts...
11/24/2019 5:25:30 PM: Configure starts...
11/24/2019 5:25:30 PM: HomeController starts...
11/24/2019 5:25:30 PM: Home/Index starts...
11/24/2019 5:25:49 PM: api/User/Post starts...
11/24/2019 5:25:51 PM: HomeController starts...
11/24/2019 5:25:51 PM: Home/Init starts...
11/24/2019 5:25:54 PM: api/Word/Get starts...
11/24/2019 5:25:54 PM: api/Word/Get starts...
11/24/2019 5:26:01 PM: api/Word/Get starts...
11/24/2019 5:26:01 PM: api/Word/Get starts...
11/24/2019 5:26:07 PM: api/Word/Get starts...
11/24/2019 5:26:31 PM: api/Word/Get starts...
11/24/2019 5:27:06 PM: api/Word/Get starts...
11/24/2019 5:27:14 PM: api/Word/Get starts...
11/24/2019 5:27:18 PM: api/Word/Get starts...
11/24/2019 5:47:44 PM: @@@@====MAIN====@@@@
11/24/2019 5:47:44 PM: Startup starts...
11/24/2019 5:47:44 PM: ConfigureServices starts...
11/24/2019 5:47:45 PM: Configure starts...
11/24/2019 5:47:46 PM: HomeController starts...
11/24/2019 5:47:46 PM: Home/Index starts...
11/24/2019 5:47:56 PM: api/User/Post starts...
11/24/2019 5:47:58 PM: HomeController starts...
11/24/2019 5:47:58 PM: Home/Init starts...
11/24/2019 5:48:02 PM: api/Word/Get starts...
11/24/2019 5:48:13 PM: api/Word/Get starts...
11/24/2019 5:48:21 PM: api/Word/Get starts...
11/24/2019 5:49:09 PM: @@@@====MAIN====@@@@
11/24/2019 5:49:13 PM: Startup starts...
11/24/2019 5:49:13 PM: ConfigureServices starts...
11/24/2019 5:49:15 PM: Configure starts...
11/24/2019 5:49:16 PM: HomeController starts...
11/24/2019 5:49:16 PM: Home/Index starts...
11/24/2019 5:49:24 PM: api/User/Post starts...
11/24/2019 5:49:26 PM: HomeController starts...
11/24/2019 5:49:26 PM: Home/Init starts...
11/24/2019 5:49:44 PM: api/Word/Get starts...
11/24/2019 5:55:13 PM: @@@@====MAIN====@@@@
11/24/2019 5:55:13 PM: Startup starts...
11/24/2019 5:55:13 PM: ConfigureServices starts...
11/24/2019 5:55:14 PM: Configure starts...
11/24/2019 5:55:14 PM: HomeController starts...
11/24/2019 5:55:14 PM: Home/Index starts...
11/24/2019 5:55:23 PM: api/User/Post starts...
11/24/2019 5:55:25 PM: HomeController starts...
11/24/2019 5:55:25 PM: Home/Init starts...
11/24/2019 5:55:27 PM: api/Word/Get starts...
11/24/2019 5:55:34 PM: api/Word/Get starts...
11/24/2019 5:55:35 PM: api/Word/Get starts...
11/24/2019 5:56:17 PM: api/Word/Get starts...
11/24/2019 5:56:17 PM: api/Word/Get starts...
11/24/2019 5:56:17 PM: api/Word/Get starts...
11/24/2019 5:57:22 PM: HomeController starts...
11/24/2019 5:57:22 PM: Home/Index starts...
11/24/2019 5:57:30 PM: api/User/Post starts...
11/24/2019 5:57:30 PM: HomeController starts...
11/24/2019 5:57:30 PM: Home/Init starts...
11/24/2019 5:57:32 PM: api/Word/Get starts...
11/24/2019 5:57:39 PM: api/Word/Get starts...
11/24/2019 5:57:43 PM: api/Word/Get starts...
11/24/2019 5:57:44 PM: api/Word/Get starts...
11/24/2019 6:01:24 PM: HomeController starts...
11/24/2019 6:01:24 PM: Home/Index starts...
11/24/2019 6:01:48 PM: HomeController starts...
11/24/2019 6:01:48 PM: Home/Index starts...
11/24/2019 6:01:55 PM: api/User/Post starts...
11/24/2019 6:01:55 PM: HomeController starts...
11/24/2019 6:01:55 PM: Home/Init starts...
11/24/2019 6:01:57 PM: api/Word/Get starts...
11/24/2019 6:01:59 PM: api/Word/Get starts...
11/24/2019 6:02:01 PM: api/Word/Get starts...
11/24/2019 6:02:01 PM: api/Word/Get starts...
11/24/2019 6:02:02 PM: api/Word/Get starts...
11/24/2019 6:02:03 PM: api/Word/Get starts...
11/24/2019 6:02:04 PM: api/Word/Get starts...
11/24/2019 6:02:04 PM: api/Word/Get starts...
11/24/2019 6:02:05 PM: api/Word/Get starts...
11/24/2019 6:02:06 PM: api/Word/Get starts...
11/24/2019 6:02:30 PM: @@@@====MAIN====@@@@
11/24/2019 6:02:32 PM: Startup starts...
11/24/2019 6:02:32 PM: ConfigureServices starts...
11/24/2019 6:02:34 PM: Configure starts...
11/24/2019 6:02:35 PM: HomeController starts...
11/24/2019 6:02:35 PM: Home/Index starts...
11/24/2019 6:02:44 PM: api/User/Post starts...
11/24/2019 6:02:45 PM: HomeController starts...
11/24/2019 6:02:45 PM: Home/Init starts...
11/24/2019 6:02:54 PM: api/Word/Get starts...
11/24/2019 6:03:49 PM: @@@@====MAIN====@@@@
11/24/2019 6:03:52 PM: Startup starts...
11/24/2019 6:03:52 PM: ConfigureServices starts...
11/24/2019 6:03:53 PM: Configure starts...
11/24/2019 6:03:54 PM: HomeController starts...
11/24/2019 6:03:54 PM: Home/Index starts...
11/24/2019 6:04:02 PM: api/User/Post starts...
11/24/2019 6:04:04 PM: HomeController starts...
11/24/2019 6:04:04 PM: Home/Init starts...
11/24/2019 6:04:11 PM: api/Word/Get starts...
11/24/2019 6:17:17 PM: @@@@====MAIN====@@@@
11/24/2019 6:17:17 PM: Startup starts...
11/24/2019 6:17:17 PM: ConfigureServices starts...
11/24/2019 6:17:18 PM: Configure starts...
11/24/2019 6:17:18 PM: HomeController starts...
11/24/2019 6:17:18 PM: Home/Index starts...
11/24/2019 6:17:26 PM: api/User/Post starts...
11/24/2019 6:17:28 PM: HomeController starts...
11/24/2019 6:17:28 PM: Home/Init starts...
11/24/2019 6:19:00 PM: HomeController starts...
11/24/2019 6:19:00 PM: Home/Index starts...
11/24/2019 6:19:07 PM: api/User/Post starts...
11/24/2019 6:19:07 PM: HomeController starts...
11/24/2019 6:19:07 PM: Home/Init starts...
11/24/2019 6:20:40 PM: HomeController starts...
11/24/2019 6:20:40 PM: Home/Index starts...
11/24/2019 6:20:49 PM: api/User/Post starts...
11/24/2019 6:20:49 PM: HomeController starts...
11/24/2019 6:20:49 PM: Home/Init starts...
11/24/2019 6:21:34 PM: HomeController starts...
11/24/2019 6:21:34 PM: Home/Index starts...
11/24/2019 6:21:42 PM: api/User/Post starts...
11/24/2019 6:21:42 PM: HomeController starts...
11/24/2019 6:21:42 PM: Home/Init starts...
11/24/2019 6:23:13 PM: @@@@====MAIN====@@@@
11/24/2019 6:23:15 PM: Startup starts...
11/24/2019 6:23:15 PM: ConfigureServices starts...
11/24/2019 6:23:16 PM: Configure starts...
11/24/2019 6:23:17 PM: HomeController starts...
11/24/2019 6:23:18 PM: Home/Index starts...
11/24/2019 6:23:25 PM: api/User/Post starts...
11/24/2019 6:23:27 PM: HomeController starts...
11/24/2019 6:23:27 PM: Home/Init starts...
11/24/2019 6:23:50 PM: @@@@====MAIN====@@@@
11/24/2019 6:23:53 PM: Startup starts...
11/24/2019 6:23:53 PM: ConfigureServices starts...
11/24/2019 6:23:54 PM: Configure starts...
11/24/2019 6:23:55 PM: HomeController starts...
11/24/2019 6:23:55 PM: Home/Index starts...
11/24/2019 6:24:04 PM: api/User/Post starts...
11/24/2019 6:24:06 PM: HomeController starts...
11/24/2019 6:24:06 PM: Home/Init starts...
11/24/2019 6:24:53 PM: @@@@====MAIN====@@@@
11/24/2019 6:24:56 PM: Startup starts...
11/24/2019 6:24:56 PM: ConfigureServices starts...
11/24/2019 6:24:58 PM: Configure starts...
11/24/2019 6:24:58 PM: HomeController starts...
11/24/2019 6:24:59 PM: Home/Index starts...
11/24/2019 6:25:09 PM: api/User/Post starts...
11/24/2019 6:25:17 PM: api/User/Post starts...
11/24/2019 6:25:17 PM: HomeController starts...
11/24/2019 6:25:17 PM: Home/Init starts...
11/24/2019 8:49:31 PM: @@@@====MAIN====@@@@
11/24/2019 8:49:34 PM: Startup starts...
11/24/2019 8:49:35 PM: ConfigureServices starts...
11/24/2019 8:49:36 PM: Configure starts...
11/24/2019 8:49:37 PM: HomeController starts...
11/24/2019 8:49:37 PM: Home/Index starts...
11/24/2019 8:49:45 PM: api/User/Post starts...
11/24/2019 8:50:47 PM: HomeController starts...
11/24/2019 8:50:49 PM: Home/Init starts...
11/24/2019 8:52:20 PM: @@@@====MAIN====@@@@
11/24/2019 8:52:20 PM: Startup starts...
11/24/2019 8:52:20 PM: ConfigureServices starts...
11/24/2019 8:52:21 PM: Configure starts...
11/24/2019 8:52:21 PM: HomeController starts...
11/24/2019 8:52:21 PM: Home/Index starts...
11/24/2019 8:52:28 PM: api/User/Post starts...
11/24/2019 8:52:30 PM: HomeController starts...
11/24/2019 8:52:30 PM: Home/Init starts...
11/24/2019 8:52:32 PM: api/Word/Get starts...
11/24/2019 8:52:40 PM: api/Word/Get starts...
11/24/2019 8:52:46 PM: api/Word/Get starts...
11/24/2019 8:52:53 PM: api/Word/Get starts...
11/24/2019 8:53:03 PM: api/Word/Get starts...
11/24/2019 8:53:13 PM: api/Word/Get starts...
11/24/2019 9:02:22 PM: @@@@====MAIN====@@@@
11/24/2019 9:02:25 PM: Startup starts...
11/24/2019 9:02:25 PM: ConfigureServices starts...
11/24/2019 9:02:26 PM: Configure starts...
11/24/2019 9:02:27 PM: HomeController starts...
11/24/2019 9:02:28 PM: Home/Index starts...
11/24/2019 9:02:37 PM: api/User/Post starts...
11/24/2019 9:02:49 PM: HomeController starts...
11/24/2019 9:02:49 PM: Home/Init starts...
11/24/2019 9:02:50 PM: api/User/Post starts...
11/24/2019 9:02:52 PM: api/Word/Get starts...
11/24/2019 9:02:57 PM: api/Word/Get starts...
11/24/2019 9:02:57 PM: api/Word/Get starts...
11/24/2019 9:02:58 PM: api/Word/Get starts...
11/24/2019 9:03:04 PM: api/Word/Get starts...
11/24/2019 9:03:04 PM: api/Word/Get starts...
11/24/2019 9:03:04 PM: api/Word/Get starts...
11/24/2019 9:03:05 PM: api/Word/Get starts...
11/24/2019 9:03:05 PM: api/Word/Get starts...
11/24/2019 9:03:29 PM: @@@@====MAIN====@@@@
11/24/2019 9:03:30 PM: Startup starts...
11/24/2019 9:03:30 PM: ConfigureServices starts...
11/24/2019 9:03:30 PM: Configure starts...
11/24/2019 9:03:30 PM: HomeController starts...
11/24/2019 9:03:30 PM: Home/Index starts...
11/24/2019 9:03:38 PM: api/User/Post starts...
11/24/2019 9:03:40 PM: HomeController starts...
11/24/2019 9:03:40 PM: Home/Init starts...
11/24/2019 9:03:43 PM: api/Word/Get starts...
11/24/2019 9:06:40 PM: @@@@====MAIN====@@@@
11/24/2019 9:06:43 PM: Startup starts...
11/24/2019 9:06:43 PM: ConfigureServices starts...
11/24/2019 9:06:44 PM: Configure starts...
11/24/2019 9:06:45 PM: HomeController starts...
11/24/2019 9:06:45 PM: Home/Index starts...
11/24/2019 9:06:53 PM: api/User/Post starts...
11/24/2019 9:06:54 PM: HomeController starts...
11/24/2019 9:06:55 PM: Home/Init starts...
11/24/2019 9:06:58 PM: api/Word/Get starts...
11/24/2019 9:09:14 PM: @@@@====MAIN====@@@@
11/24/2019 9:09:17 PM: Startup starts...
11/24/2019 9:09:17 PM: ConfigureServices starts...
11/24/2019 9:09:18 PM: Configure starts...
11/24/2019 9:09:19 PM: HomeController starts...
11/24/2019 9:09:19 PM: Home/Index starts...
11/24/2019 9:09:27 PM: api/User/Post starts...
11/24/2019 9:09:29 PM: HomeController starts...
11/24/2019 9:09:29 PM: Home/Init starts...
11/24/2019 9:09:32 PM: api/Word/Get starts...
11/24/2019 9:12:37 PM: @@@@====MAIN====@@@@
11/24/2019 9:12:40 PM: Startup starts...
11/24/2019 9:12:40 PM: ConfigureServices starts...
11/24/2019 9:12:41 PM: Configure starts...
11/24/2019 9:12:42 PM: HomeController starts...
11/24/2019 9:12:42 PM: Home/Index starts...
11/24/2019 9:12:49 PM: api/User/Post starts...
11/24/2019 9:12:51 PM: HomeController starts...
11/24/2019 9:12:51 PM: Home/Init starts...
11/24/2019 9:12:54 PM: api/Word/Get starts...
11/24/2019 9:14:04 PM: api/Word/Get starts...
11/24/2019 9:14:13 PM: api/Word/Get starts...
11/24/2019 9:14:19 PM: api/Word/Get starts...
11/24/2019 9:21:37 PM: @@@@====MAIN====@@@@
11/24/2019 9:21:40 PM: Startup starts...
11/24/2019 9:21:40 PM: ConfigureServices starts...
11/24/2019 9:21:42 PM: Configure starts...
11/24/2019 9:21:43 PM: HomeController starts...
11/24/2019 9:21:43 PM: Home/Index starts...
11/24/2019 9:21:51 PM: api/User/Post starts...
11/24/2019 9:21:53 PM: HomeController starts...
11/24/2019 9:21:53 PM: Home/Init starts...
11/24/2019 9:21:57 PM: api/Word/Get starts...
11/24/2019 9:22:00 PM: api/Word/Get starts...
11/24/2019 9:22:06 PM: api/Word/Get starts...
11/24/2019 9:27:15 PM: @@@@====MAIN====@@@@
11/24/2019 9:27:18 PM: Startup starts...
11/24/2019 9:27:19 PM: ConfigureServices starts...
11/24/2019 9:27:20 PM: Configure starts...
11/24/2019 9:27:21 PM: HomeController starts...
11/24/2019 9:27:21 PM: Home/Index starts...
11/24/2019 9:27:30 PM: api/User/Post starts...
11/24/2019 9:27:32 PM: HomeController starts...
11/24/2019 9:27:32 PM: Home/Init starts...
